/Users/youshaoxiao/.virtualenvs/py3/bin/python /Users/youshaoxiao/PycharmProjects/cluster_and_cloud_2018/1_vm_scripts/2_vm_setup/test.py
Connecting to Nectar
Connecting to Nectar finshed
Image id: ami-00003b61, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64 (pre-installed murano-agent)
Image id: ami-00003b1f, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-00003b31, image name: Community Test Image Ubuntu Xenial 16.04
Image id: ami-00003b5e, image name: NeCTAR Scientific Linux 6 x86_64
Image id: ami-00003b58, image name: NeCTAR Fedora 24 x86_64
Image id: ami-33682125, image name: taxacloud_base18
Image id: ami-00003b55, image name: NeCTAR Scientific Linux 6 x86_64
Image id: ami-00003b52, image name: Community Test Image CentOS 7.2
Image id: ami-00003b4f, image name: cqu-dm-dev
Image id: ami-00003b4c, image name: teleheath-Nov21
Image id: ami-00003b49, image name: ILERouting v1
Image id: ami-00003b46, image name: trove-webserver-nov16
Image id: ami-00003b43, image name: trove-4store-nov16
Image id: ami-00003b1d, image name: ILEPostgres v2
Image id: ami-00003b1a, image name: ILEUIServer
Image id: ami-00003b17, image name: ltern-2_DATA-LTERN2
Image id: ami-00003b14, image name: ltern-2_ROOT-3871
Image id: ami-00003b11, image name: devtest2-2_ROOT-963
Image id: ami-19167011, image name: gs-dev-snapshot-091116
Image id: ami-00003b0e, image name: ILEComputeNode v3
Image id: ami-00003b0b, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-00003b40, image name: n7673124_Project
Image id: ami-00003b08, image name: BioinformaticsWorkshop16_v0.2
Image id: ami-00003b05, image name: stdp-874
Image id: ami-00003aff, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64 (pre-installed murano-agent)
Image id: ami-00003afc, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-00003af9, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64 (pre-installed murano-agent)
Image id: ami-00003af6, image name: NeCTAR Ubuntu 15.10 (Wily) amd64
Image id: ami-00003af3, image name: NeCTAR openSUSE Leap 42.1 x86_64
Image id: ami-00003af0, image name: NeCTAR openSUSE 13.2 x86_64
Image id: ami-00003aed, image name: NeCTAR CentOS 7 x86_64 (pre-installed murano-agent)
Image id: ami-00003aea, image name: NeCTAR Scientific Linux 6 x86_64
Image id: ami-00003ae7, image name: NeCTAR CentOS 7 x86_64
Image id: ami-00003ae4, image name: NeCTAR Debian 7 (Wheezy) amd64
Image id: ami-00003ae1, image name: NeCTAR CentOS 6 x86_64
Image id: ami-00003ade, image name: BioWorkshop16_v1.2
Image id: ami-00003adb, image name: NeCTAR CentOS 5 x86_64
Image id: ami-00003ad8, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-00003ad5, image name: Pulsar_psrchive_installed2
Image id: ami-00003acf, image name: shihabhasan
Image id: ami-00003b3d, image name: jupyter demo for ResPitch
Image id: ami-00003b3a, image name: earth.nullschool.net
Image id: ami-00003aba, image name: ILENaked
Image id: ami-00003aa5, image name: CoreOS Stable 1122.2.0 (20160929)
Image id: ami-00003a97, image name: Rachel_GVL_DADA2
Image id: ami-00003a91, image name: LAMMPS_NEW
Image id: ami-00003a8e, image name: NeCTAR CentOS 7 x86_64
Image id: ami-00003a8b, image name: NeCTAR CentOS 7 x86_64 (pre-installed murano-agent)
Image id: ami-00003a88, image name: NeCTAR Fedora 24 x86_64
Image id: ami-00003a85, image name: bharat2-Spet14-2016
Image id: ami-00003a9f, image name: CoreOS-1122.2.0
Image id: ami-00003a7c, image name: x2g snapshot
Image id: ami-00003a6d, image name: moodle snapshot intersect with fix
Image id: ami-00003a6a, image name: 20160829 Learn Moodle
Image id: ami-00003a67, image name: TorRelayTemplate-2016-08-25
Image id: ami-00003a64, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64 (pre-installed murano-agent)
Image id: ami-00003a61, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-00003a52, image name: NeCTAR Fedora 24 x86_64
Image id: ami-00003a46, image name: rtg-core-generic-template-snapshot
Image id: ami-00003a3d, image name: GVL 4.1.0
Image id: ami-00003a3a, image name: cath_qiime_dada2
Image id: ami-00003a22, image name: BCCVL WP Blog
Image id: ami-00003a0d, image name: 100y
Image id: ami-00003a07, image name: iucn_100y
Image id: ami-00003a01, image name: CompChemCurtin_26Jul2016
Image id: ami-000039e6, image name: prism-pack-centos7
Image id: ami-000039e0, image name: RancherOS v0.5.0
Image id: ami-000039da, image name: BTP-20160708
Image id: ami-000039d7, image name: int_mood_test_20160707
Image id: ami-000039d4, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-000039d1, image name: NeuroDebian 8.0.0
Image id: ami-000039c5, image name: node_connect_tomcat
Image id: ami-000039e9, image name: RStudio_Server_eRSA_28Jun2016
Image id: ami-000039ba, image name: BTP-20160624
Image id: ami-000039b4, image name: anotherJune
Image id: ami-000039ae, image name: tuyen_snapshot
Image id: ami-000039ab, image name: virginie -ersaSnapshot
Image id: ami-000039a8, image name: Snapshot-Drought
Image id: ami-000039a2, image name: AlexFraser_LIMPS_WorkerTemplate_2016-06-18
Image id: ami-00003986, image name: biohack1_docker_virtuosso_play_apache
Image id: ami-00003983, image name: NeCTAR CentOS 5 x86_64
Image id: ami-00003980, image name: BTP-20160612
Image id: ami-0000396b, image name: GVL 4.1.0 Micro Alpha
Image id: ami-00003971, image name: TESTING TPAC core.005_matlabR2016a
Image id: ami-00003950, image name: xenial-server-cloudimg-amd64
Image id: ami-0000394a, image name: NeCTAR CentOS 5 x86_64
Image id: ami-0000392c, image name: debian_rspatial_2016-06-01
Image id: ami-00003929, image name: debian_rspatial0.99.902
Image id: ami-00003923, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-00003917, image name: diabetes_qiime_20_5_16
Image id: ami-00003947, image name: NeCTAR Fedora 22 x86_64
Image id: ami-00003c35, image name: CondaFerret-install-13May2016
Image id: ami-000038a6, image name: NeCTAR CentOS 7 x86_64
Image id: ami-000038a3, image name: nectar_training_snapshot_13.06.16
Image id: ami-000038a0, image name: parity-2-snap-1
Image id: ami-00003882, image name: res_os_drupal7
Image id: ami-00003d6a, image name: Domjudge
Image id: ami-0000386d, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-0000386a, image name: twitter_image_1234
Image id: ami-0000385e, image name: CvlBuildSystemBackup-20April2016
Image id: ami-0000385b, image name: NeCTAR Fedora 23 x86_64
Image id: ami-00003855, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-00003852, image name: NeCTAR Debian 7 (Wheezy) amd64
Image id: ami-0000384f, image name: NeCTAR CentOS 7 x86_64
Image id: ami-0000384c, image name: NeCTAR Scientific Linux 6 x86_64
Image id: ami-00003849, image name: NeCTAR CentOS 6 x86_64
Image id: ami-00003846, image name: NeCTAR Fedora 22 x86_64
Image id: ami-00003843, image name: NeCTAR Ubuntu 15.10 (Wily) amd64
Image id: ami-00003840, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-0000383d, image name: NeCTAR openSUSE Leap 42.1 x86_64
Image id: ami-0000383a, image name: NeCTAR openSUSE 13.2 x86_64
Image id: ami-00003837, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-00003828, image name: FreeNAS-9.10-STABLE-201603252134
Image id: ami-00003b37, image name: HadoopSlave
Image id: ami-00003b34, image name: HadoopMaster
Image id: ami-00003816, image name: cirros image
Image id: aki-00003810, image name: Server 3.1
Image id: aki-0000380d, image name: Server3
Image id: ami-00003813, image name: EMUstack_14_04
Image id: ami-0000380a, image name: storm1603
Image id: ami-00003807, image name: zookeeper1603
Image id: ami-00003801, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-000037f5, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-000037f8, image name: EMU-worker-node-15Mar2016-2
Image id: ami-000037f2, image name: protcat_03.16
Image id: ami-000038c9, image name: seqliner-reference
Image id: ami-16048741, image name: 2016.03.01 - Wordpress_v1
Image id: ami-000037e9, image name: SHPC4001 Base
Image id: ami-000037e0, image name: Srv@CentOS7
Image id: ami-000037dd, image name: CirrOS 0.3.4 x86_64
Image id: ami-000037ef, image name: bioinfo
Image id: ami-000037da, image name: snap_base_20160208_V2
Image id: ami-000037d7, image name: centos-seven-space-template-snapshot-public
Image id: ami-000037c8, image name: micro CernVM 1.16.2
Image id: ami-000037c2, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-000037bf, image name: NeCTAR Scientific Linux 6 x86_64
Image id: ami-000037bc, image name: NeCTAR Debian 7 (Wheezy) amd64
